College Name,Code
"Government College of Engineering, Ratnagiri",3042
"Government College of Engineering,Yavatmal",1012
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",5418
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",4134
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",4196
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",3222
"Hi-Tech Institute of Technology, Aurangabad",2135
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",5170
"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",6315
"Hon. Shri. Babanrao Pachpute Vichardhara Trust , Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",5303
"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",3200
ISBM College Of Engineering Pune,6622
"Ideal Institute of Technology, Wada, Dist.Thane",3465
"Indala College Of Engineering, Bapsai Tal.Kalyan",3503
"Indira College of Engineering & Management, Pune",6179
"Institute of Chemical Technology, Matunga, Mumbai",3036
"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",2113
International Centre Of Excellence In Engineering  and Management (ICEEM),2516
"International Institute of Information Technology (IÂ²IT), Pune.",6754
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",4175
"JSPM Narhe Technical Campus, Pune.",6755
"JSPM'S Jaywantrao Sawant College of Engineering,Pune",6145
"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",6160
"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",5124
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",1127
"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",4197
"Jaidev Education Society, J D College of Engineering and Management, Nagpur",4138
"Jaihind College Of Engineering,Kuran",6609
"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",5322
"Janata Shikshan Prasarak Mandalâs Babasaheb Naik College Of Engineering, Pusad",1117
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",3146
"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",5401
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",1120
"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",6311
"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",6313
"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",6141
K J Somaiya Institute of Technology,3209
"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",6214
